school,school_code,department,major,major_code_1,major_code_2,gpa_mean,gpa_sd,jobrate,score
서울대학교_본교,1,의과대학,의예과,2,32,3.335315985,1.002514493,88.5,394
서울대학교_본교,1,의과대학,의학과,2,32,3.037625628,0.85644525,88.5,394
서울대학교_본교,1,경영대학,경영학과,1,11,3.537735849,0.867830428,88.05,393
서울대학교_본교,1,사회과학대학,사회과학계열,1,10,0,0,62.95,393
서울대학교_본교,1,사회과학대학,사회학과,1,8,3.421863799,0.813630809,54.75,393
서울대학교_본교,1,인문대학,인문계열1,1,5,2.3,0,70.57352941,392
서울대학교_본교,1,사범대학,영어교육과,3,35,3.518678161,0.682832572,60.35,392
서울대학교_본교,1,사범대학,사회교육과,3,35,3.800205761,0.570881168,68,391
서울대학교_본교,1,사범대학,국어교육과,3,35,3.565553869,0.66122624,54,391
서울대학교_본교,1,사범대학,역사교육과,3,35,3.656009615,0.718379881,33.3,391
서울대학교_본교,1,사회과학대학,경제학부,1,6,3.41708064,0.917480342,83.4,390
서울대학교_본교,1,공과대학,화학생물공학부,2,15,3.096851852,0.848183951,74.95,390
서울대학교_본교,1,공과대학,컴퓨터공학부,2,14,3.158892128,1.012855242,65.9,390
서울대학교_본교,1,농업생명과학대학,농경제사회학부,1,10,3.740559441,0.678704143,65.1,390
서울대학교_본교,1,사범대학,지리교육과,3,35,3.833178654,0.637526298,63,390
서울대학교_본교,1,자연과학대학,수리과학부,2,25,3.424970554,0.913561369,48.9,390
서울대학교_본교,1,자연과학대학,화학부,2,27,3.253282828,0.830868677,34.5,390
서울대학교_본교,1,공과대학,기계항공공학부,2,20,3.32035561,0.863790356,78.65,389
서울대학교_본교,1,생활과학대학,소비자아동학부,3,40,3.658340767,0.688846088,77.3,389
서울대학교_본교,1,공과대학,재료공학부,2,16,3.269467213,0.900540664,62.65,389
서울대학교_본교,1,자연과학대학,생명과학부,2,27,3.306044905,0.889604949,30.7,389
서울대학교_본교,1,농업생명과학대학,응용생물화학부,2,27,3.455799373,0.886146904,22.5,389
서울대학교_본교,1,공과대학,건설환경공학부,2,22,3.385200327,0.83595712,80.35,388
서울대학교_본교,1,공과대학,산업공학과,2,23,3.436492891,0.730152892,67.8,388
서울대학교_본교,1,자연과학대학,물리학부,2,26,2.766666667,0.555777733,41.65,388
서울대학교_본교,1,인문대학,고고미술사학과,1,2,3.6765625,0.647851141,100,387.8333333
서울대학교_본교,1,공과대학,건축학과,2,22,3.461901082,0.769306741,100,387.8333333
서울대학교_본교,1,인문대학,동양사학과,1,2,3.615384615,0.6495219,83.35,387.8333333
서울대학교_본교,1,수의과대학,수의예과,2,40,3.727,0.498368338,83.1,387.8333333
서울대학교_본교,1,수의과대학,수의학과,2,40,3.362718669,0.817424493,83.1,387.8333333
서울대학교_본교,1,인문대학,언어학과,1,1,3.51732852,0.770148898,82.5,387.8333333
서울대학교_본교,1,사범대학,교육학과,3,35,3.771944444,0.671992557,81.95,387.8333333
서울대학교_본교,1,자유전공학부,자유전공학부,3,40,3.44326382,0.805286123,78.55,387.8333333
서울대학교_본교,1,인문대학,노어노문학과,1,1,3.507727273,0.770881619,77.1,387.8333333
서울대학교_본교,1,인문대학,서어서문학과,1,1,3.5129683,0.793655757,76.1,387.8333333
서울대학교_본교,1,자연과학대학,통계학과,2,25,3.108970976,0.918656669,76.1,387.8333333
서울대학교_본교,1,공과대학,에너지자원공학과,2,17,3.299040307,0.786021738,72.75,387.8333333
서울대학교_본교,1,사회과학대학,외교학과,1,8,3.354545455,0.783191183,72.7,387.8333333
서울대학교_본교,1,미술대학,디자인학부,3,38,3.610066225,0.804295996,72.25,387.8333333
서울대학교_본교,1,인문대학,불어불문학과,1,1,3.489244186,0.863184685,71.4,387.8333333
서울대학교_본교,1,인문대학,아시아언어문명학부,1,1,3.848275862,0.439399294,70.57352941,387.8333333
서울대학교_본교,1,인문대학,중어중문학과,1,1,3.478890877,0.791492004,70.45,387.8333333
서울대학교_본교,1,인문대학,독어독문학과,1,1,3.775518672,0.625746227,69.45,387.8333333
서울대학교_본교,1,사범대학,불어교육과,3,35,3.489175258,0.750729089,69.3,387.8333333
서울대학교_본교,1,공과대학,원자핵공학과,2,18,3.18490099,0.958402001,69,387.8333333
서울대학교_본교,1,사회과학대학,심리학과,1,4,3.407317073,0.931400792,68.9,387.8333333
